sample_id,expected_sample_id,raw_response,status,error,sample_id_esp32,sample_id_match,SOH_esp32,inference_time_ms,free_heap,min_free_heap,max_alloc_heap
soh_v1_1_0000,soh_v1_1_0000,"soh_v1_1_0000,1.000785,0.335000,277220,271896,110580",OK,,soh_v1_1_0000,True,1.000785,0.335,277220,271896,110580
soh_v1_1_0001,soh_v1_1_0001,"soh_v1_1_0001,0.991239,0.252000,277204,271880,110580",OK,,soh_v1_1_0001,True,0.991239,0.252,277204,271880,110580
soh_v1_1_0002,soh_v1_1_0002,"soh_v1_1_0002,0.978636,0.250000,277204,271880,110580",OK,,soh_v1_1_0002,True,0.978636,0.25,277204,271880,110580
soh_v1_1_0003,soh_v1_1_0003,"soh_v1_1_0003,0.968705,0.261000,277204,271880,110580",OK,,soh_v1_1_0003,True,0.968705,0.261,277204,271880,110580
soh_v1_1_0004,soh_v1_1_0004,"soh_v1_1_0004,0.965909,0.251000,277204,271880,110580",OK,,soh_v1_1_0004,True,0.965909,0.251,277204,271880,110580
soh_v1_1_0005,soh_v1_1_0005,"soh_v1_1_0005,0.963576,0.252000,277204,271880,110580",OK,,soh_v1_1_0005,True,0.963576,0.252,277204,271880,110580
soh_v1_1_0006,soh_v1_1_0006,"soh_v1_1_0006,0.955999,0.250000,277204,271880,110580",OK,,soh_v1_1_0006,True,0.955999,0.25,277204,271880,110580
soh_v1_1_0007,soh_v1_1_0007,"soh_v1_1_0007,0.960117,0.253000,277204,271880,110580",OK,,soh_v1_1_0007,True,0.960117,0.253,277204,271880,110580
soh_v1_1_0008,soh_v1_1_0008,"soh_v1_1_0008,0.959557,0.251000,277204,271880,110580",OK,,soh_v1_1_0008,True,0.959557,0.251,277204,271880,110580
soh_v1_1_0009,soh_v1_1_0009,"soh_v1_1_0009,0.952103,0.252000,277204,271880,110580",OK,,soh_v1_1_0009,True,0.952103,0.252,277204,271880,110580
soh_v1_1_0010,soh_v1_1_0010,"soh_v1_1_0010,0.946661,0.250000,277204,271880,110580",OK,,soh_v1_1_0010,True,0.946661,0.25,277204,271880,110580
soh_v1_1_0011,soh_v1_1_0011,"soh_v1_1_0011,0.942806,0.253000,277204,271880,110580",OK,,soh_v1_1_0011,True,0.942806,0.253,277204,271880,110580
soh_v1_1_0012,soh_v1_1_0012,"soh_v1_1_0012,0.938448,0.251000,277204,271880,110580",OK,,soh_v1_1_0012,True,0.938448,0.251,277204,271880,110580
soh_v1_1_0013,soh_v1_1_0013,"soh_v1_1_0013,0.934126,0.253000,277204,271880,110580",OK,,soh_v1_1_0013,True,0.934126,0.253,277204,271880,110580
soh_v1_1_0014,soh_v1_1_0014,"soh_v1_1_0014,0.930923,0.251000,277204,271880,110580",OK,,soh_v1_1_0014,True,0.930923,0.251,277204,271880,110580
soh_v1_1_0015,soh_v1_1_0015,"soh_v1_1_0015,0.921019,0.253000,277220,271880,110580",OK,,soh_v1_1_0015,True,0.921019,0.253,277220,271880,110580
soh_v1_1_0016,soh_v1_1_0016,"soh_v1_1_0016,0.910919,0.251000,277204,271880,110580",OK,,soh_v1_1_0016,True,0.910919,0.251,277204,271880,110580
soh_v1_1_0017,soh_v1_1_0017,"soh_v1_1_0017,0.908464,0.262000,277204,271880,110580",OK,,soh_v1_1_0017,True,0.908464,0.262,277204,271880,110580
soh_v1_1_0018,soh_v1_1_0018,"soh_v1_1_0018,0.903824,0.250000,277204,271880,110580",OK,,soh_v1_1_0018,True,0.903824,0.25,277204,271880,110580
soh_v1_1_0019,soh_v1_1_0019,"soh_v1_1_0019,0.901762,0.253000,277204,271880,110580",OK,,soh_v1_1_0019,True,0.901762,0.253,277204,271880,110580
soh_v1_1_0020,soh_v1_1_0020,"soh_v1_1_0020,0.896275,0.258000,277204,271880,110580",OK,,soh_v1_1_0020,True,0.896275,0.258,277204,271880,110580
soh_v1_1_0021,soh_v1_1_0021,"soh_v1_1_0021,0.895096,0.263000,277204,271880,110580",OK,,soh_v1_1_0021,True,0.895096,0.263,277204,271880,110580
soh_v1_1_0022,soh_v1_1_0022,"soh_v1_1_0022,0.889232,0.261000,277204,271880,110580",OK,,soh_v1_1_0022,True,0.889232,0.261,277204,271880,110580
soh_v1_1_0023,soh_v1_1_0023,"soh_v1_1_0023,0.887595,0.253000,277204,271880,110580",OK,,soh_v1_1_0023,True,0.887595,0.253,277204,271880,110580
soh_v1_1_0024,soh_v1_1_0024,"soh_v1_1_0024,0.877747,0.250000,277204,271880,110580",OK,,soh_v1_1_0024,True,0.877747,0.25,277204,271880,110580
soh_v1_1_0025,soh_v1_1_0025,"soh_v1_1_0025,0.882195,0.253000,277204,271880,110580",OK,,soh_v1_1_0025,True,0.882195,0.253,277204,271880,110580
soh_v1_1_0026,soh_v1_1_0026,"soh_v1_1_0026,0.883253,0.260000,277204,271880,110580",OK,,soh_v1_1_0026,True,0.883253,0.26,277204,271880,110580
soh_v1_1_0027,soh_v1_1_0027,"soh_v1_1_0027,0.869275,0.253000,277204,271880,110580",OK,,soh_v1_1_0027,True,0.869275,0.253,277204,271880,110580
soh_v1_1_0028,soh_v1_1_0028,"soh_v1_1_0028,0.874737,0.250000,277204,271880,110580",OK,,soh_v1_1_0028,True,0.874737,0.25,277204,271880,110580
soh_v1_1_0029,soh_v1_1_0029,"soh_v1_1_0029,0.871176,0.252000,277204,271880,110580",OK,,soh_v1_1_0029,True,0.871176,0.252,277204,271880,110580
soh_v1_1_0030,soh_v1_1_0030,"soh_v1_1_0030,0.860798,0.251000,277204,271880,110580",OK,,soh_v1_1_0030,True,0.860798,0.251,277204,271880,110580
soh_v1_1_0031,soh_v1_1_0031,"soh_v1_1_0031,0.862093,0.261000,277204,271880,110580",OK,,soh_v1_1_0031,True,0.862093,0.261,277204,271880,110580
soh_v1_1_0032,soh_v1_1_0032,"soh_v1_1_0032,0.843888,0.261000,277204,271880,110580",OK,,soh_v1_1_0032,True,0.843888,0.261,277204,271880,110580
soh_v1_1_0033,soh_v1_1_0033,"soh_v1_1_0033,0.854806,0.252000,277204,271880,110580",OK,,soh_v1_1_0033,True,0.854806,0.252,277204,271880,110580
soh_v1_1_0034,soh_v1_1_0034,"soh_v1_1_0034,0.849804,0.261000,277204,271880,110580",OK,,soh_v1_1_0034,True,0.849804,0.261,277204,271880,110580
soh_v1_1_0035,soh_v1_1_0035,"soh_v1_1_0035,0.840328,0.253000,277204,271880,110580",OK,,soh_v1_1_0035,True,0.840328,0.253,277204,271880,110580
soh_v1_1_0036,soh_v1_1_0036,"soh_v1_1_0036,0.848045,0.251000,277204,271880,110580",OK,,soh_v1_1_0036,True,0.848045,0.251,277204,271880,110580
soh_v1_1_0037,soh_v1_1_0037,"soh_v1_1_0037,0.850019,0.262000,277204,271880,110580",OK,,soh_v1_1_0037,True,0.850019,0.262,277204,271880,110580
soh_v1_1_0038,soh_v1_1_0038,"soh_v1_1_0038,0.837326,0.250000,277204,271880,110580",OK,,soh_v1_1_0038,True,0.837326,0.25,277204,271880,110580
soh_v1_1_0039,soh_v1_1_0039,"soh_v1_1_0039,0.838680,0.253000,277204,271880,110580",OK,,soh_v1_1_0039,True,0.83868,0.253,277204,271880,110580
soh_v1_1_0040,soh_v1_1_0040,"soh_v1_1_0040,0.839266,0.251000,277204,271880,110580",OK,,soh_v1_1_0040,True,0.839266,0.251,277204,271880,110580
soh_v1_1_0041,soh_v1_1_0041,"soh_v1_1_0041,0.833994,0.263000,277204,271880,110580",OK,,soh_v1_1_0041,True,0.833994,0.263,277204,271880,110580
